CustomerID,Recency,Frequency,Monetary,Segment
12346.0,325,12,77556.46,Top Clients
12347.0,1,8,4921.53,Top Clients
12348.0,74,5,2019.3999999999999,Standard
12349.0,18,4,4428.6900000000005,Standard
12350.0,309,1,334.40000000000003,Standard
12351.0,374,1,300.93,Standard
12352.0,35,10,2849.84,Top Clients
12353.0,203,2,406.76,Standard
12354.0,231,1,1079.4,Standard
12355.0,213,2,947.61,Standard
12356.0,22,6,6371.7300000000005,Standard
12357.0,32,3,18287.66,Standard
12358.0,1,5,3887.07,Standard
12359.0,57,10,8873.39,Top Clients
12360.0,51,8,4252.89,Top Clients
12361.0,286,4,511.25,Standard
12362.0,2,11,5356.2300000000005,Top Clients
12363.0,109,2,552.0,Standard
12364.0,7,4,1313.1,Standard
12365.0,290,2,641.38,Standard
12366.0,633,1,500.24,Clients à risque
12367.0,3,1,168.9,Standard
12368.0,627,1,917.7,Clients à risque
12369.0,412,3,1791.15,Clients à risque
12370.0,50,7,4316.56,Standard
12371.0,44,5,4067.38,Standard
12372.0,71,3,1298.04,Standard
12373.0,310,3,1127.65,Standard
12374.0,24,4,2989.2200000000003,Standard
12375.0,10,2,457.5,Standard
12376.0,389,2,503.15,Clients à risque
12377.0,314,4,3426.32,Standard
12378.0,129,2,5416.32,Standard
12379.0,81,4,1620.22,Standard
12380.0,21,11,9676.300000000001,Top Clients
12381.0,4,5,1845.31,Standard
12383.0,184,5,1850.56,Standard
12384.0,28,2,585.27,Standard
12385.0,378,1,1938.4,Standard
12386.0,337,2,401.9,Standard
12387.0,414,1,143.94,Clients à risque
12388.0,15,8,3901.11,Top Clients
12389.0,402,3,1433.33,Clients à risque
12390.0,79,1,549.84,Standard
12391.0,21,6,2724.84,Standard
12392.0,590,1,234.75000000000003,Clients à risque
12393.0,71,6,2399.45,Standard
12394.0,63,2,1272.48,Standard
12395.0,18,15,4721.17,Top Clients
12396.0,673,1,931.4300000000001,Clients à risque
12397.0,35,2,2409.9,Standard
12398.0,45,1,1635.6599999999999,Standard
12399.0,118,7,1962.3,Standard
12400.0,413,1,205.25,Clients à risque
12401.0,302,1,84.3,Standard
12402.0,322,6,1256.9,Standard
12403.0,49,2,1019.36,Standard
12404.0,681,1,63.24,Clients à risque
12405.0,148,1,1710.39,Standard
12406.0,21,5,6390.36,Standard
12407.0,49,5,1708.12,Standard
12408.0,32,8,4340.77,Top Clients
12409.0,78,7,23419.29,Standard
12410.0,308,3,1013.71,Standard
12411.0,409,1,346.9,Clients à risque
12412.0,74,6,2596.93,Standard
12413.0,66,4,999.45,Standard
12414.0,216,6,952.4100000000001,Standard
12415.0,23,28,144458.37,Top Clients
12416.0,656,1,202.56,Clients à risque
12417.0,2,20,6797.41,Top Clients
12418.0,112,4,2021.2,Standard
12419.0,385,2,503.01,Clients à risque
12420.0,63,1,600.39,Standard
12421.0,15,6,1098.6,Standard
12422.0,95,17,5231.8,Top Clients
12423.0,0,10,2622.39,Top Clients
12424.0,162,4,3340.0299999999997,Standard
12425.0,77,2,1741.41,Standard
12426.0,194,2,1345.21,Standard
12427.0,21,3,825.8000000000001,Standard
12428.0,25,9,7956.46,Top Clients
12429.0,8,8,6204.41,Top Clients
12430.0,42,1,256.4,Standard
12431.0,35,27,10432.220000000001,Top Clients
12432.0,42,5,5059.32,Standard
12433.0,0,10,16794.14,Top Clients
12434.0,84,3,1103.43,Standard
12435.0,79,6,13925.93,Standard
12436.0,99,1,509.01,Standard
12437.0,1,39,12683.4,Top Clients
12438.0,13,2,2906.85,Standard
12439.0,682,2,1142.88,Clients à risque
12440.0,461,2,859.2,Clients à risque
12441.0,366,1,173.55,Standard
12442.0,2,1,172.06,Standard
12443.0,731,1,485.31,Clients à risque
12444.0,20,5,5005.46,Standard
12445.0,21,2,434.98,Standard
12446.0,57,1,1002.3100000000001,Standard
12447.0,242,1,476.49,Standard
12448.0,43,1,449.45,Standard
12449.0,21,6,4835.89,Standard
12450.0,155,5,688.2,Standard
12451.0,10,8,12669.88,Top Clients
12452.0,16,2,430.57000000000005,Standard
12453.0,133,1,707.09,Standard
12454.0,55,5,16679.78,Standard
12455.0,72,10,5879.95,Top Clients
12456.0,43,3,3181.04,Standard
12457.0,65,8,2995.91,Top Clients
12458.0,70,4,1777.49,Standard
12459.0,604,1,454.36,Clients à risque
12460.0,455,1,326.65,Clients à risque
12461.0,93,2,826.88,Standard
12462.0,18,2,1189.59,Standard
12463.0,52,4,1344.78,Standard
12464.0,9,8,1212.05,Standard
12465.0,16,2,742.19,Standard
12466.0,681,1,56.73,Clients à risque
12467.0,422,1,132.8,Clients à risque
12468.0,187,5,3670.7400000000002,Standard
12469.0,522,2,3070.54,Clients à risque
12470.0,689,1,211.95,Clients à risque
12471.0,1,79,39918.19,Top Clients
12472.0,31,19,16249.29,Top Clients
12473.0,28,5,3928.05,Standard
12474.0,16,31,12372.75,Top Clients
12475.0,53,2,1149.64,Standard
12476.0,15,23,14083.91,Top Clients
12477.0,22,9,20276.37,Top Clients
12478.0,3,1,680.99,Standard
12479.0,10,1,527.2,Standard
12480.0,27,7,5464.85,Standard
12481.0,22,15,12185.51,Top Clients
12482.0,575,29,23691.4,Clients à risque
12483.0,16,19,5097.18,Top Clients
12484.0,32,12,6354.1,Top Clients
12485.0,528,1,708.1,Clients à risque
12486.0,431,1,1037.28,Clients à risque
12487.0,730,1,285.3,Clients à risque
12488.0,9,3,1298.66,Standard
12489.0,335,1,334.93,Standard
12490.0,4,21,9823.64,Top Clients
12491.0,38,1,460.40000000000003,Standard
12492.0,62,3,715.21,Standard
12493.0,165,2,433.74,Standard
12494.0,15,9,1815.27,Standard
12495.0,640,1,357.4,Clients à risque
12496.0,619,2,45.34,Clients à risque
12497.0,81,3,6248.5,Standard
12498.0,20,3,403.70000000000005,Standard
12499.0,559,1,393.72,Clients à risque
12500.0,22,19,5955.21,Top Clients
12501.0,336,1,2169.39,Standard
12502.0,95,5,3723.87,Standard
12503.0,583,1,1126.0,Clients à risque
12504.0,17,4,779.05,Standard
12505.0,408,1,955.2,Clients à risque
12506.0,232,1,73.5,Standard
12507.0,133,4,1844.06,Standard
12508.0,25,2,397.88,Standard
12509.0,283,1,176.5,Standard
12510.0,142,9,5178.02,Top Clients
12511.0,428,1,3084.02,Clients à risque
12512.0,65,2,132.18,Standard
12513.0,112,1,612.29,Standard
12514.0,266,2,1597.76,Standard
12515.0,352,1,383.7,Standard
12516.0,77,4,2648.62,Standard
12517.0,27,5,2481.6,Standard
12518.0,0,5,2056.89,Standard
12519.0,63,2,716.54,Standard
12520.0,78,5,2634.26,Standard
